"year","saleID","saleprice","log_saleprice","error_log_saleprice","age","enghours","johndeere","spring","summer","winter","horsepower","squared_horsepower","diesel","fwd","manual","cab"
2000,101,11400,9.34136863438259,-0.422311008897466,7,208,0,0,0,0,30,900,0,0,0,NA
2000,102,9100,9.11602969250494,0.0557337357588104,5,228,0,0,1,0,48,2304,0,0,0,NA
2000,103,5600,8.63052187672324,-0.543552820077048,29,938,0,0,0,0,27,729,0,0,0,NA
2000,104,5100,8.53699581871242,-0.221273222094206,27,609,0,0,1,0,41,1681,0,0,1,NA
2000,105,4800,8.47637119689598,0.343991243379318,11,2860,0,0,0,0,45,2025,0,0,0,NA
2000,106,4500,8.41183267575841,0.0613138864694562,23,4617,0,0,0,0,60,3600,0,0,0,NA
2000,107,2250,7.71868549519847,0.352322177483604,28,1390,0,0,1,0,24,576,0,0,0,NA
2000,108,1650,7.40853056689463,0.50878378830649,33,1140,0,0,0,0,25,625,0,0,0,NA
2000,109,8800,9.0825070004663,0.323326750107285,7,203,1,0,0,0,50,2500,0,0,0,NA
2000,110,4700,8.45531778769815,0.450454548587306,13,1257,1,0,0,0,26,676,0,0,0,NA
2000,111,4000,8.29404964010203,-0.207620458377848,33,9872,1,0,0,0,50,2500,0,0,1,NA
2000,112,3750,8.22951111896446,0.0470391893137734,32,10734,1,0,1,0,70,4900,0,0,0,NA
2000,113,3000,8.00636756765025,0.626062908837174,10,1737,0,1,0,0,19,361,0,0,0,NA
2000,114,1600,7.37775890822787,0.650713553305525,25,3351,0,1,0,0,18,324,0,0,0,NA
2000,115,3000,8.00636756765025,-0.0643913159602221,28,10611,1,1,0,0,22,484,0,0,0,NA
2000,116,11600,9.35876037709446,-0.247807117216949,9,29,0,0,0,0,29,841,0,1,0,NA
2000,117,3000,8.00636756765025,0.417351006163747,28,2277,0,0,0,0,36,1296,0,1,1,NA
2000,118,10000,9.21034037197618,0.114044699996091,10,4484,1,0,1,0,44,1936,0,1,0,NA
2000,119,10100,9.22029070282935,0.0347800054478302,4,20,0,0,0,1,52,2704,0,0,0,NA
2000,120,10000,9.21034037197618,-0.135860459790614,13,1347,0,0,0,1,72,5184,0,0,0,NA
2000,121,6000,8.69951474821019,-0.182100435571289,15,578,0,0,0,1,20,400,0,0,0,NA
2000,122,4600,8.43381158247719,-0.127315463047509,27,1310,1,0,0,1,16,256,0,0,0,NA
2000,123,10500,9.25913053614561,-0.328746234174732,11,1392,0,0,0,1,24,576,0,1,0,NA
2000,124,6200,8.73230457103318,0.464481655179119,12,1712,1,0,0,1,27,729,0,1,1,NA
2000,125,5400,8.59415423255237,0.328710114952468,15,3939,1,0,0,1,20,400,0,1,1,NA
2000,126,41100,10.6237634004843,-0.498579031490355,18,7300,0,0,1,0,210,44100,1,0,1,1
2000,127,32500,10.3889953683178,-0.476796635392443,7,2757,0,0,0,0,95,9025,1,0,0,1
2000,128,22500,10.0212705881925,-0.67753416695829,20,5439,0,0,0,0,95,9025,1,0,1,1
2000,129,18000,9.7981270368783,-0.251331448685951,11,3900,0,0,1,0,75,5625,1,0,1,1
2000,130,16600,9.71715797434464,-0.501507797808854,22,7811,0,0,0,0,100,10000,1,0,1,1
2000,131,16100,9.68657455097255,-0.209422589511874,23,1800,0,0,1,0,105,11025,1,0,1,1
2000,132,15900,9.67407438820832,-0.221491900213216,3,243,0,0,0,0,70,4900,1,0,0,NA
2000,133,15100,9.62245002280302,-0.65614601675566,32,6424,0,0,1,0,105,11025,1,0,1,1
2000,134,14900,9.60911649193355,-0.0814243115910962,13,2484,0,0,1,0,74,5476,1,0,1,1
2000,135,13750,9.52879410309472,-0.294914443414861,33,4122,0,0,0,0,131,17161,1,0,1,1
2000,136,13500,9.51044496442652,-0.359034552054949,27,5200,0,0,1,0,100,10000,1,0,1,1
2000,137,13250,9.49175283141437,-0.137720200926537,5,2220,0,0,0,0,76,5776,1,0,0,NA
2000,138,12600,9.44145209293957,-0.0941591398801389,5,2379,0,0,0,0,76,5776,1,0,0,NA
2000,139,12100,9.40096073158483,-0.06847421684731,30,5148,0,0,1,0,136,18496,1,0,1,1
2000,140,11250,9.32812340763257,-0.0610537056490106,9,755,0,0,0,0,75,5625,1,0,0,NA
2000,141,11000,9.30565055178051,0.039862116915959,7,1625,0,0,1,0,80,6400,1,0,1,NA
2000,142,10600,9.26860928010016,0.187219302617368,31,6155,0,0,1,0,165,27225,1,0,1,1
2000,143,10250,9.23503298456655,-0.0536061875760527,17,1021,0,0,1,0,46,2116,1,0,1,1
2000,144,10000,9.21034037197618,0.766706315676755,7,209,0,0,0,0,90,8100,1,0,1,1
2000,145,10000,9.21034037197618,0.308678242060793,12,3730,0,0,0,0,75,5625,1,0,1,1
2000,146,10000,9.21034037197618,0.389627991988132,10,608,0,0,1,0,62,3844,1,0,1,1
2000,147,10000,9.21034037197618,-0.415249488520907,7,883,0,0,0,0,21,441,1,0,0,NA
2000,148,9800,9.19013766465866,-0.0712303738666833,21,3772,0,0,0,0,66,4356,1,0,0,1
2000,149,9600,9.16951837745593,-0.60418790013823,25,6228,0,0,0,0,85,7225,1,0,0,NA
